2261.49308,7.43E-30,0.082,0.75,-0.003345,3375.8013,77,77
2261.499626,1.71E-30,0.116,0.69,-0.00219,5802.2343,9,11
2261.504143,2.52E-28,0.105,0.68,-0.002261,4740.7919,25,25
2261.50776,8.82E-28,0.108,0.68,-0.002424,4510.367,19,21
2261.518924,5.21E-28,0.105,0.68,-0.002501,1449.0509,23,25
2261.522054,6.05E-30,0.109,0.68,-0.002382,5667.694,17,19
2261.526267,2.57E-30,0.105,0.68,-0.002261,5688.2744,25,25
2261.540195,5.04E-29,0.089,0.73,-0.002033,3660.1796,59,57
2261.554082,1.52E-29,0.094,0.72,-0.002832,5037.4285,49,49
2261.554926,1.66E-26,0.097,0.71,-0.002745,4063.4986,39,41
2261.563963,1.26E-30,0.088,0.74,-0.003107,5279.0044,63,63
2261.574524,2.87E-28,0.107,0.68,-0.002207,4731.3095,23,23
2261.581219,1.57E-25,0.089,0.73,-0.002978,3683.0046,57,59
2261.596618,2.93E-30,0.107,0.68,-0.002207,5678.8948,23,23
2261.622053,3.69E-29,0.092,0.73,-0.002931,2258.2328,53,51
2261.625098,5.75E-27,0.1,0.7,-0.002662,4242.4751,33,35
2261.639057,3.28E-28,0.108,0.68,-0.002152,4722.6171,21,21
2261.647475,3.33E-30,0.105,0.68,-0.002022,5696.5527,25,23
2261.649737,6.44E-30,0.086,0.74,-0.003262,2489.9695,67,65
2261.661109,3.34E-30,0.108,0.68,-0.002152,5670.2967,21,21
2261.6642,1.43E-26,0.077,0.74,-0.003538,4414.2991,89,91
2261.674474,3.58E-29,0.093,0.72,-0.002875,2238.6227,51,49
2261.677934,4.95E-30,0.081,0.75,-0.003376,5171.946,79,79
2261.67972,1.83E-25,0.086,0.74,-0.003095,3680.9962,65,67
2261.68271,1.74E-29,0.095,0.72,-0.00279,5018.5472,47,47
2261.692487,7.20E-30,0.102,0.69,-0.002233,5562.5586,31,29
2261.694068,6.22E-29,0.069,0.71,-0.003929,2814.4418,123,123
2261.697336,3.89E-30,0.102,0.69,-0.002233,5721.2109,31,29
